wavelength,healthy_mean,healthy_std,healthy_median,healthy_min,healthy_max,cracked_mean,cracked_std,cracked_median,cracked_min,cracked_max,n_healthy,n_cracked,abs_mean_diff,cohens_d,fisher_score,relative_diff_pct
557.360000,0.177890,0.115123,0.141914,0.034483,4.146899,0.096458,0.066698,0.079426,0.015497,0.868035,69618,24548,0.081433,0.777912,0.374607,59.364484
560.300000,0.181003,0.115929,0.144907,0.033827,4.174533,0.097951,0.067131,0.080990,0.016559,0.863905,69618,24548,0.083052,0.787909,0.384353,59.545068
563.240000,0.184634,0.117063,0.149007,0.034115,4.189846,0.099548,0.067734,0.082589,0.016590,0.863771,69618,24548,0.085086,0.799453,0.395788,59.881285
566.180000,0.189015,0.118739,0.153340,0.036559,4.223831,0.101388,0.068494,0.084418,0.017560,0.860973,69618,24548,0.087627,0.811969,0.408641,60.348557
569.120000,0.193904,0.120717,0.157795,0.037363,4.297390,0.103414,0.069273,0.086294,0.017824,0.862765,69618,24548,0.090490,0.825212,0.422712,60.871130
572.070000,0.199168,0.122827,0.163396,0.038117,4.376157,0.105778,0.070317,0.088694,0.019011,0.864893,69618,24548,0.093390,0.837228,0.435408,61.249896
575.010000,0.204362,0.124809,0.168801,0.040632,4.398138,0.108045,0.071229,0.091087,0.019712,0.862705,69618,24548,0.096318,0.850042,0.449240,61.661812
577.960000,0.209742,0.126875,0.174194,0.043478,4.437133,0.110378,0.072257,0.093301,0.019969,0.858471,69618,24548,0.099364,0.862826,0.463129,62.079319
580.900000,0.215798,0.129084,0.180541,0.043678,4.474556,0.112916,0.073368,0.095827,0.020108,0.857143,69618,24548,0.102882,0.878268,0.480129,62.596582
583.850000,0.222023,0.131113,0.187050,0.043578,4.468085,0.115424,0.074419,0.098117,0.020882,0.857290,69618,24548,0.106598,0.896037,0.499947,63.179304
586.800000,0.228890,0.133380,0.194013,0.047170,4.577482,0.118289,0.075418,0.101072,0.022293,0.860000,69618,24548,0.110601,0.914237,0.521024,63.714235
589.750000,0.236600,0.135997,0.200935,0.049505,4.783270,0.121694,0.076476,0.104000,0.022651,0.856670,69618,24548,0.114906,0.932061,0.542374,64.140804
592.700000,0.244754,0.138782,0.208396,0.050378,4.844473,0.124840,0.077489,0.107563,0.022222,0.858259,69618,24548,0.119914,0.953833,0.569137,64.889296
595.650000,0.252152,0.141159,0.214537,0.056272,4.812183,0.127275,0.078406,0.109453,0.023649,0.859186,69618,24548,0.124878,0.977097,0.598098,65.824397
598.600000,0.259902,0.143581,0.221223,0.060536,4.775819,0.129874,0.079263,0.112091,0.024390,0.851690,69618,24548,0.130028,1.000832,0.628567,66.719421
601.550000,0.267229,0.146012,0.227431,0.063415,4.763454,0.132425,0.080110,0.114458,0.024288,0.848485,69618,24548,0.134804,1.020926,0.655157,67.460280
604.510000,0.274129,0.147981,0.233628,0.068287,4.772215,0.135157,0.080883,0.117061,0.024370,0.847896,69618,24548,0.138972,1.038866,0.679079,67.909725
607.460000,0.279988,0.149496,0.238338,0.072177,4.808564,0.137895,0.081706,0.120085,0.025445,0.849404,69618,24548,0.142092,1.051433,0.695620,68.005819
610.420000,0.285320,0.151197,0.242963,0.075209,4.950777,0.141325,0.082674,0.123457,0.027051,0.847007,69618,24548,0.143995,1.053477,0.698239,67.500884
613.380000,0.290271,0.153083,0.247328,0.078035,5.057410,0.145110,0.083854,0.127168,0.027051,0.847380,69618,24548,0.145161,1.048741,0.691644,66.682337
616.340000,0.294343,0.154864,0.250289,0.079882,5.159401,0.148886,0.085330,0.130734,0.028624,0.855646,69618,24548,0.145457,1.038210,0.676741,65.634970
619.300000,0.297987,0.156559,0.252964,0.081081,5.207989,0.152789,0.086743,0.135135,0.029879,0.857814,69618,24548,0.145197,1.024589,0.658104,64.421033
622.260000,0.301949,0.158328,0.255556,0.085366,5.234396,0.156817,0.088344,0.139053,0.030189,0.861702,69618,24548,0.145132,1.011981,0.640761,63.270662
625.220000,0.306931,0.160466,0.259508,0.084640,5.308345,0.161351,0.090005,0.144048,0.029952,0.863855,69618,24548,0.145580,1.001060,0.626097,62.176352
628.180000,0.312572,0.162805,0.263258,0.087097,5.377168,0.166002,0.091525,0.148607,0.031652,0.867322,69618,24548,0.146570,0.993166,0.615870,61.252959
631.150000,0.318199,0.165100,0.267647,0.091503,5.418978,0.170366,0.093002,0.153392,0.033066,0.864764,69618,24548,0.147833,0.987597,0.608640,60.517265
634.110000,0.322706,0.167337,0.271357,0.095082,5.434210,0.174348,0.094359,0.157407,0.034171,0.869888,69618,24548,0.148358,0.977754,0.596396,59.695088
637.080000,0.324994,0.169244,0.273186,0.095710,5.450147,0.178019,0.095533,0.161685,0.034309,0.868649,69618,24548,0.146976,0.957624,0.571927,58.438076
640.040000,0.324145,0.170407,0.272727,0.096990,5.491124,0.181074,0.096610,0.164948,0.036623,0.870486,69618,24548,0.143071,0.925417,0.533446,56.637206
643.010000,0.320396,0.171097,0.270393,0.092784,5.575529,0.183853,0.097438,0.168385,0.036420,0.869455,69618,24548,0.136543,0.879226,0.480908,54.156995
645.980000,0.314281,0.170952,0.265659,0.093190,5.693146,0.185827,0.098047,0.170616,0.036598,0.873368,69618,24548,0.128455,0.827240,0.424860,51.370819
648.950000,0.307223,0.170105,0.260870,0.090566,5.807754,0.187475,0.098333,0.172673,0.039150,0.866216,69618,24548,0.119748,0.774370,0.371442,48.412409
651.920000,0.300623,0.169200,0.255520,0.088803,5.825082,0.188217,0.098326,0.173516,0.037585,0.865199,69618,24548,0.112406,0.730371,0.329926,45.988745
654.890000,0.295216,0.167590,0.251549,0.087302,5.879456,0.188493,0.097895,0.174545,0.038687,0.865819,69618,24548,0.106723,0.699720,0.302358,44.126922
657.870000,0.287950,0.165380,0.246460,0.086420,5.861403,0.188467,0.097315,0.173785,0.037773,0.852770,69618,24548,0.099483,0.660449,0.268788,41.763186
660.840000,0.275904,0.161627,0.235772,0.081301,5.840555,0.187346,0.097070,0.172214,0.035629,0.855508,69618,24548,0.088557,0.600203,0.220628,38.233107
663.810000,0.260830,0.156401,0.222672,0.076923,5.886010,0.185647,0.096477,0.171361,0.036680,0.853901,69618,24548,0.075183,0.524961,0.167388,33.678454
666.790000,0.245267,0.150503,0.209607,0.072266,5.859649,0.184808,0.096405,0.170241,0.033203,0.844828,69618,24548,0.060459,0.436675,0.114424,28.115462
669.770000,0.231934,0.144980,0.198276,0.063745,5.850987,0.184869,0.096754,0.170616,0.033865,0.840176,69618,24548,0.047065,0.350998,0.072913,22.583986
672.750000,0.222819,0.141291,0.189964,0.062880,5.844322,0.186975,0.097998,0.172840,0.032454,0.838806,69618,24548,0.035845,0.272819,0.043456,17.494067
675.730000,0.217776,0.138839,0.186125,0.059671,5.817505,0.191249,0.099744,0.177778,0.032922,0.836611,69618,24548,0.026527,0.204389,0.024078,12.970937
678.710000,0.217476,0.138268,0.185956,0.058577,5.801512,0.198011,0.102297,0.184375,0.031381,0.841076,69618,24548,0.019465,0.149898,0.012808,9.369702
681.690000,0.224799,0.140793,0.192593,0.063559,5.793499,0.207556,0.105589,0.194313,0.031847,0.849845,69618,24548,0.017243,0.130115,0.009600,7.976315
684.670000,0.244150,0.148095,0.210256,0.070022,5.803922,0.218738,0.108893,0.205970,0.035011,0.850556,69618,24548,0.025412,0.182892,0.019111,10.979759
687.650000,0.282826,0.162151,0.245322,0.085308,5.823285,0.232690,0.112404,0.220065,0.042553,0.864957,69618,24548,0.050136,0.332528,0.064572,19.450839
690.640000,0.341259,0.181364,0.297904,0.120393,5.675053,0.249093,0.115993,0.236364,0.050898,0.870403,69618,24548,0.092166,0.552517,0.183279,31.223973
693.620000,0.403128,0.198297,0.354885,0.153846,5.541176,0.262898,0.118758,0.250535,0.058962,0.890000,69618,24548,0.140229,0.774904,0.368071,42.109240
696.610000,0.464916,0.210004,0.413580,0.193833,5.304348,0.275182,0.120915,0.262739,0.059242,0.903785,69618,24548,0.189735,0.994254,0.613043,51.272822
